,Percent_dot_balls,Strike_Rate,Avg_run_per_match,percent_boundaries
0,0.4166666666666667,105.20833333333333,7.214285714285714,0.37142857142857144
1,0.4473684210526316,96.05263157894737,7.3,0.32000000000000006
2,0.6538461538461539,61.53846153846154,3.5555555555555554,0.15555555555555556
3,0.625,72.91666666666666,4.375,0.175
4,0.5370370370370371,85.18518518518519,6.571428571428571,0.37142857142857144
5,0.4,154.2857142857143,10.8,0.72
6,0.49122807017543857,52.63157894736842,2.727272727272727,0.0
7,0.4117647058823529,131.37254901960785,7.444444444444445,0.48888888888888893
8,0.39215686274509803,100.0,4.636363636363637,0.18181818181818182
9,0.45454545454545453,84.0909090909091,6.166666666666667,0.2
10,0.35185185185185186,129.62962962962962,7.777777777777778,0.48888888888888893
11,0.45,85.0,4.25,0.125
12,0.4594594594594595,91.8918918918919,4.857142857142857,0.22857142857142856
13,0.25757575757575757,136.36363636363635,8.181818181818182,0.4
14,0.48484848484848486,109.09090909090908,5.142857142857143,0.2571428571428571
15,0.5333333333333333,96.66666666666667,4.833333333333333,0.33333333333333337
16,0.38461538461538464,107.6923076923077,4.2,0.18
17,0.43333333333333335,110.00000000000001,4.714285714285714,0.22857142857142856
18,0.2926829268292683,146.34146341463415,10.0,0.5333333333333333
19,0.3548387096774194,125.80645161290323,6.5,0.36666666666666664
20,0.36666666666666664,166.66666666666669,10.0,0.7999999999999999
21,0.3125,218.75,17.5,1.5
22,0.23333333333333334,106.66666666666667,4.571428571428571,0.0857142857142857
